,home_team,home_score,home_scorers,away_team,away_score,away_scorers
3788,Tottenham Hotspur,4,"['Modric', 'Defoe', 'Adebayor', 'Adebayor']",Liverpool,0,[]
3789,Wolverhampton,0,[],Queens Park Rangers,3,"['Barton', 'Faurlin', 'Campbell']"
3790,Aston Villa,1,['Agbonlahor'],Newcastle United,1,['Best']
3791,Bolton Wanderers,1,['Petrov'],Norwich City,2,"['Pilkington', 'Johnson']"
3792,Everton,3,"['Jagielka', 'Vellios', 'Drenthe']",Wigan Athletic,1,['Santo']
3793,Swansea City,3,"['Sinclair', 'Lita', 'Dyer']",West Bromwich Albion,0,[]
3794,Queens Park Rangers,0,[],Newcastle United,0,[]
3795,Norwich City,0,[],West Bromwich Albion,1,['Odemwingie']
3796,Fulham,1,['Zamora'],Blackburn Rovers,1,['Rochina']
3797,Arsenal,1,['Arshavin'],Swansea City,0,[]
3798,Manchester City,3,"['Ag?ero', 'Ag?ero', 'Ag?ero']",Wigan Athletic,0,[]
3799,Everton,2,"['Osman', 'Baines']",Aston Villa,2,"['Petrov', 'Agbonlahor']"
3800,Stoke City,1,['Walters'],Liverpool,0,[]
3801,Wolverhampton,0,[],Tottenham Hotspur,2,"['Adebayor', 'Defoe']"
3802,Bolton Wanderers,0,[],Manchester United,5,"['Hernandez', 'Rooney', 'Rooney', 'Hernandez', 'Rooney']"
3803,Sunderland,1,['Ji'],Chelsea,2,"['Terry', 'Sturridge']"
3804,Newcastle United,2,"['Best', 'Best']",Fulham,1,['Dempsey']
3805,Tottenham Hotspur,1,['Kaboul'],Manchester City,5,"['Dzeko', 'Dzeko', 'Dzeko', 'Ag?ero', 'Dzeko']"
3806,Manchester United,8,"['Welbeck', 'Young', 'Rooney', 'Rooney', 'Nani', 'Park', 'Rooney', 'Young']",Arsenal,2,"['Walcott', 'Persie']"
3807,West Bromwich Albion,0,[],Stoke City,1,['Shotton']
3808,Aston Villa,0,[],Wolverhampton,0,[]
3809,Liverpool,3,"['Henderson', 'Skrtel', 'Adam']",Bolton Wanderers,1,['Klasnic']
3810,Chelsea,3,"['Bosingwa', 'Lampard', 'Mata']",Norwich City,1,['Holt']
3811,Blackburn Rovers,0,[],Everton,1,['Arteta']
3812,Swansea City,0,[],Sunderland,0,[]
3813,Wigan Athletic,2,"['Santo', 'Santo']",Queens Park Rangers,0,[]
3814,Manchester United,3,"['Welbeck', 'Anderson', 'Rooney']",Tottenham Hotspur,0,[]
3815,Wolverhampton,2,"['Doyle', 'Jarvis']",Fulham,0,[]
